sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/figis/ws/vme/index.html,10000,468,1,56180,2469.0105482126055,0.0,163.91024275106952,2214.776777299251,13836.4228
authority,10000,199,0,22321,763.162881686151,0.003,164.02046975462537,169.11508329677042,1055.8063
type,10000,199,0,21379,789.1171719765766,0.0,164.04468577240442,142.54640542208696,889.8034
criteria,10000,197,0,21384,803.7335874297589,1.0E-4,164.04737688244364,84.4816436111749,527.3428
scope,10000,187,0,45235,888.8729142375979,2.0E-4,164.05006808077826,61.173613546229305,381.8455
years,10000,202,0,21342,786.1579293588217,0.0,164.05275936741256,100.66573699164151,628.3449
search,10000,356,2,45387,1480.808445865582,2.0E-4,164.04468577240442,3425.623645349743,21383.4334
search vme_type,10000,191,0,24421,839.665731791354,7.0E-4,164.07698492132508,61.37108945579766,383.0153
get?id=23718,10000,172,0,21344,689.9454139560607,1.0E-4,164.0850616959832,121.37471362029075,757.459
get?inventoryIdentifier,20000,180,0,46467,755.7728786424381,1.0E-4,328.2132072994617,245.1657624136389,764.89835
get?geographicFeatureId,10000,187,0,21151,690.61304244411,1.0E-4,164.1146833407185,181.32757303616268,1131.4005
get geographicFeatureId year,10000,187,0,22841,764.0089486745493,1.0E-4,164.23057973394648,181.9159999076203,1134.271
specificmeasure,10000,189,0,22663,781.0853956171438,3.0E-4,164.25485783742056,375.5053563765789,2340.9809
year specificmeasure,10000,174,0,22592,733.1654233142136,2.0E-4,164.257555847569,127.11662863933147,792.4593
specificmeasure.xml,10000,181,0,22321,705.3327184559355,0.0,164.257555847569,127.0647527667132,792.1359
vmes,10000,177,0,23038,742.8127744597826,2.0E-4,164.27104722792606,127.09597985112936,792.2655
TOTAL,170000,213,0,56180,1006.6242913135375,3.1764705882352944E-4,2785.150234280284,7736.724842516138,2844.5166588235293
